P;sx;ano;opcao_1;opcao_2;opcao_3;P. V.;1_purpose;plano;tempo livre;missao;semanal;futuro;alem_de_si;SOMA ;2_purpose;plano;tempo livre;missao;semanal;futuro;alem_de_si;SOMA;3_purpose;plano;tempo livre;missao;semanal;futuro;alem_de_si;SOMA;PSYS
71;m;2;aventuras;criar;salario alto;1;criar;5;5;5;5;5;5;30;sem_resposta;;;;;;;;sem_resposta;;;;;;;;30
70;f;ig.;aventuras;apoio;diversao;1;dar apoio;5;5;5;5;5;5;30;sem_resposta;;;;;;;;sem_resposta;;;;;;;;30
69;m;2;apoio;diversao;salario alto;1;dar apoio;3;3;5;3;4;4;22;sem_resposta;;;;;;;;sem_resposta;;;;;;;;22
68;f;2;diversao;salario alto;amigos;0;sem_resposta;;;;;;;1;sem_resposta;;;;;;;;sem_resposta;;;;;;;;1
67;m;2;criar;diversao;contribuir;2;criar;3;2;5;4;5;5;24;contribuir;4;2;5;3;5;4;23;sem_resposta;;;;;;;;24
66;m;2;aventuras;diversao;salario alto;0;sem_resposta;;;;;;;1;sem_resposta;;;;;;;;sem_resposta;;;;;;;;1
65;f;2;dar apoio;salario alto;amigos;1;dar apoio;5;5;5;5;5;5;30;sem_resposta;;;;;;;;sem_resposta;;;;;;;;30
64;f;2;servir;dar apoio;contribuir;3;servir;3;5;5;5;5;5;28;dar apoio;2;2;1;1;5;3;14;contribuir;5;4;3;3;5;4;24;28
63;m;2;criar;dar apoio;diversao;2;criar;2;1;3;1;2;3;12;dar apoio;3;1;3;1;4;4;16;sem_resposta;;;;;;;;16
62;m;2;aventuras;diversao;salario alto;0;sem_resposta;;;;;;;1;sem_resposta;;;;;;;;sem_resposta;;;;;;;;1
60;m;2;melhorar;criar;diversao;2;melhorar;4;2;3;2;3;3;17;criar;3;1;2;2;2;2;12;sem_resposta;;;;;;;;17
59;f;2;melhorar;aventuras;amigos;1;melhorar;2;2;2;1;3;4;14;sem_resposta;;;;;;;;sem_resposta;;;;;;;;14
58;m;2;fisico;melhorar;salario alto;1;melhorar;4;3;2;2;3;3;17;sem_resposta;;;;;;;;sem_resposta;;;;;;;;17
57;f;2;melhorar;;;1;melhorar;4;3;5;3;3;5;23;sem_resposta;;;;;;;;sem_resposta;;;;;;;;23
56;f;2;melhorar;amigos;;1;melhorar;2;2;3;3;2;5;17;sem_resposta;;;;;;;;sem_resposta;;;;;;;;17
55;m;2;criar;dar apoio;contribuir;3;criar;4;3;5;3;5;5;25;dar apoio;4;2;4;2;5;2;19;contribuir;4;2;4;3;5;3;21;25
54;f;2;melhorar;servir;dar apoio;3;melhorar;4;5;5;5;5;5;29;servir;5;4;5;4;5;5;28;dar apoio;5;5;5;5;5;5;30;30
53;m;2;fisico;salario alto;amigos;0;sem_resposta;;;;;;;1;sem_resposta;;;;;;;;sem_resposta;;;;;;;;1
52;f;2;melhorar;criar;diversao;2;melhorar;3;3;3;3;4;5;21;criar;2;3;2;4;3;2;16;sem_resposta;;;;;;;;21
